Airport_ID,Identifier,Type,Name,Latitude,Longitude,Elevation_Ft,Continent,ISO_Country_Code,ISO_Region,Municipality,Is_Scheduled_Service,GPS_Code,IATA_Code,Local_Code,Home_Link,Wikipedia_Link,Keywords
1734,CYFJ,medium_airport,La Macaza / Mont-Tremblant International Inc Airport,46.409401,-74.779999,827,NA,CA,CA-QC,Rivière Rouge,TRUE,CYFJ,YTM,NA,http://www.mtia.ca/,https://en.wikipedia.org/wiki/Rivi%C3%A8re_Rouge/Mont-Tremblant_International_Inc_Airport,"YFJ, CYTM"
1735,CYFO,medium_airport,Flin Flon Airport,54.67810059,-101.6819992,997,NA,CA,CA-MB,Flin Flon,TRUE,CYFO,YFO,NA,NA,https://en.wikipedia.org/wiki/Flin_Flon_Airport,NA
1736,CYFR,medium_airport,Fort Resolution Airport,61.18080139,-113.6900024,526,NA,CA,CA-NT,Fort Resolution,FALSE,CYFR,YFR,NA,NA,https://en.wikipedia.org/wiki/Fort_Resolution_Airport,YFR
1737,CYFS,medium_airport,Fort Simpson Airport,61.7602005,-121.2369995,555,NA,CA,CA-NT,Fort Simpson,TRUE,CYFS,YFS,NA,NA,https://en.wikipedia.org/wiki/Fort_Simpson_Airport,NA
1738,CYFT,medium_airport,Makkovik Airport,55.07690048,-59.18640137,234,NA,CA,CA-NL,Makkovik,TRUE,CYFT,YMN,NA,NA,https://en.wikipedia.org/wiki/Makkovik_Airport,YFT
1739,CYGB,medium_airport,Texada Gillies Bay Airport,49.69419861,-124.5179977,326,NA,CA,CA-BC,Texada,TRUE,CYGB,YGB,NA,NA,https://en.wikipedia.org/wiki/Texada/Gillies_Bay_Airport,NA
1740,CYGD,medium_airport,Goderich Airport,43.76689911,-81.71060181,712,NA,CA,CA-ON,Goderich,FALSE,CYGD,NA,YGD,http://www.goderich.ca/en/townhall/airport.asp,https://en.wikipedia.org/wiki/Goderich_Airport,NA
1741,CYGE,medium_airport,Golden Airport,51.299196,-116.982002,2575,NA,CA,CA-BC,Golden,FALSE,CYGE,NA,NA,NA,https://en.wikipedia.org/wiki/Golden_Airport,AL4
1742,CYGH,medium_airport,Fort Good Hope Airport,66.24079895,-128.651001,268,NA,CA,CA-NT,Fort Good Hope,TRUE,CYGH,YGH,NA,NA,https://en.wikipedia.org/wiki/Fort_Good_Hope_Airport,NA
1743,CYGK,medium_airport,Kingston Norman Rogers Airport,44.22529984,-76.59690094,305,NA,CA,CA-ON,Kingston,TRUE,CYGK,YGK,NA,http://www.cityofkingston.ca/residents/transportation/airport/index.asp,https://en.wikipedia.org/wiki/Kingston/Norman_Rogers_Airport,NA
1744,CYGL,medium_airport,La Grande Rivière Airport,53.62530136,-77.70420074,639,NA,CA,CA-QC,La Grande Rivière,TRUE,CYGL,YGL,NA,NA,https://en.wikipedia.org/wiki/La_Grande_Rivi%C3%A8re_Airport,NA
1745,CYGM,medium_airport,Gimli Industrial Park Airport,50.62810135,-97.04329681,753,NA,CA,CA-MB,Gimli,FALSE,CYGM,YGM,NA,NA,https://en.wikipedia.org/wiki/Gimli_Industrial_Park_Airport,NA
1746,CYGO,medium_airport,Gods Lake Narrows Airport,54.55889893,-94.49140167,617,NA,CA,CA-MB,Gods Lake Narrows,TRUE,CYGO,YGO,NA,NA,https://en.wikipedia.org/wiki/Gods_Lake_Narrows_Airport,NA
1747,CYGP,medium_airport,Gaspé (Michel-Pouliot) Airport,48.77529907,-64.47859955,112,NA,CA,CA-QC,Gaspé,TRUE,CYGP,YGP,NA,NA,https://en.wikipedia.org/wiki/Gasp%C3%A9_Airport,NA
1748,CYGQ,medium_airport,Geraldton Greenstone Regional Airport,49.77830124,-86.93939972,1144,NA,CA,CA-ON,Geraldton,FALSE,CYGQ,YGQ,NA,NA,https://en.wikipedia.org/wiki/Geraldton_(Greenstone_Regional)_Airport,NA
1749,CYGR,medium_airport,Îles-de-la-Madeleine Airport,47.42470169,-61.77809906,35,NA,CA,CA-QC,Îles-de-la-Madeleine,TRUE,CYGR,YGR,NA,NA,https://en.wikipedia.org/wiki/%C3%8Eles-de-la-Madeleine_Airport,NA
1750,CYGT,medium_airport,Igloolik Airport,69.36470032,-81.81610107,174,NA,CA,CA-NU,Igloolik,TRUE,CYGT,YGT,NA,NA,https://en.wikipedia.org/wiki/Igloolik_Airport,NA
1751,CYGV,medium_airport,Havre St Pierre Airport,50.2818985,-63.6114006,124,NA,CA,CA-QC,Havre St-Pierre,FALSE,CYGV,YGV,NA,NA,https://en.wikipedia.org/wiki/Havre_St-Pierre_Airport,NA
1752,CYGW,medium_airport,Kuujjuarapik Airport,55.2818985,-77.76529694,34,NA,CA,CA-QC,Kuujjuarapik,TRUE,CYGW,YGW,NA,NA,https://en.wikipedia.org/wiki/Kuujjuarapik_Airport,NA
1753,CYGX,medium_airport,Gillam Airport,56.35749817,-94.71060181,476,NA,CA,CA-MB,Gillam,TRUE,CYGX,YGX,NA,NA,https://en.wikipedia.org/wiki/Gillam_Airport,NA
1754,CYGZ,medium_airport,Grise Fiord Airport,76.42610168,-82.90920258,146,NA,CA,CA-NU,Grise Fiord,TRUE,CYGZ,YGZ,NA,NA,https://en.wikipedia.org/wiki/Grise_Fiord_Airport,NA
