start_date_yyyymmdd,start_station_name,start_station_id,end_date_yyyymmdd,end_station_name,end_station_id,duration
2015-07-12,Ryland Park,84,2015-07-12,Japantown,9,295
2015-07-12,SJSU - San Salvador at 9th,16,2015-07-12,San Jose City Hall,10,369
2015-07-12,Grant Avenue at Columbus Avenue,73,2015-07-12,Post at Kearny,47,465
2015-07-12,Powell Street BART,39,2015-07-12,Harry Bridges Plaza (Ferry Building),50,11142
2015-07-12,Golden Gate at Polk,59,2015-07-12,Harry Bridges Plaza (Ferry Building),50,1441
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Washington at Kearny,46,1139
2015-07-12,Broadway St at Battery St,82,2015-07-12,Grant Avenue at Columbus Avenue,73,3818
2015-07-12,Broadway St at Battery St,82,2015-07-12,Grant Avenue at Columbus Avenue,73,3825
2015-07-12,San Francisco Caltrain 2 (330 Townsend),69,2015-07-12,Harry Bridges Plaza (Ferry Building),50,568
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Embarcadero at Sansome,60,1835
2015-07-12,Grant Avenue at Columbus Avenue,73,2015-07-12,Harry Bridges Plaza (Ferry Building),50,2134
2015-07-12,San Francisco Caltrain (Townsend at 4th),70,2015-07-12,San Francisco Caltrain (Townsend at 4th),70,9558
2015-07-12,San Francisco Caltrain (Townsend at 4th),70,2015-07-12,San Francisco Caltrain 2 (330 Townsend),69,26321
2015-07-12,San Francisco Caltrain (Townsend at 4th),70,2015-07-12,San Francisco Caltrain (Townsend at 4th),70,9620
2015-07-12,Powell at Post (Union Square),71,2015-07-12,Powell at Post (Union Square),71,6140
2015-07-12,Broadway St at Battery St,82,2015-07-12,Broadway St at Battery St,82,2074
2015-07-12,Broadway St at Battery St,82,2015-07-12,Broadway St at Battery St,82,2087
2015-07-12,Market at 4th,76,2015-07-12,Harry Bridges Plaza (Ferry Building),50,425
2015-07-12,Post at Kearny,47,2015-07-12,Steuart at Market,74,237
2015-07-12,Powell at Post (Union Square),71,2015-07-12,Powell at Post (Union Square),71,6460
2015-07-12,Embarcadero at Folsom,51,2015-07-12,Embarcadero at Sansome,60,6871
2015-07-12,Embarcadero at Folsom,51,2015-07-12,Embarcadero at Sansome,60,7122
2015-07-12,Japantown,9,2015-07-12,San Jose Civic Center,3,4505
2015-07-12,5th at Howard,57,2015-07-12,Embarcadero at Sansome,60,1117
2015-07-12,Embarcadero at Folsom,51,2015-07-12,Embarcadero at Sansome,60,7648
2015-07-12,Civic Center BART (7th at Market),72,2015-07-12,Harry Bridges Plaza (Ferry Building),50,627
2015-07-12,Steuart at Market,74,2015-07-12,2nd at Townsend,61,785
2015-07-12,Steuart at Market,74,2015-07-12,2nd at Townsend,61,834
2015-07-12,San Pedro Square,6,2015-07-12,San Jose City Hall,10,935
2015-07-12,University and Emerson,35,2015-07-12,University and Emerson,35,10286
2015-07-12,Powell Street BART,39,2015-07-12,Embarcadero at Bryant,54,6195
2015-07-12,South Van Ness at Market,66,2015-07-12,San Francisco Caltrain 2 (330 Townsend),69,796
2015-07-12,Paseo de San Antonio,7,2015-07-12,Adobe on Almaden,5,1193
2015-07-12,Powell Street BART,39,2015-07-12,Embarcadero at Bryant,54,6375
2015-07-12,Paseo de San Antonio,7,2015-07-12,Adobe on Almaden,5,1266
2015-07-12,Clay at Battery,41,2015-07-12,Embarcadero at Sansome,60,1521
2015-07-12,Clay at Battery,41,2015-07-12,Embarcadero at Sansome,60,1608
2015-07-12,Washington at Kearny,46,2015-07-12,Embarcadero at Sansome,60,645
2015-07-12,Santa Clara at Almaden,4,2015-07-12,SJSU 4th at San Carlos,12,458
2015-07-12,San Francisco Caltrain (Townsend at 4th),70,2015-07-12,Townsend at 7th,65,299
2015-07-12,San Jose Diridon Caltrain Station,2,2015-07-12,San Jose City Hall,10,1007
2015-07-12,Powell Street BART,39,2015-07-12,Market at Sansome,77,283
2015-07-12,Market at 4th,76,2015-07-12,San Francisco Caltrain (Townsend at 4th),70,464
2015-07-12,Powell Street BART,39,2015-07-12,Market at 10th,67,323
2015-07-12,Steuart at Market,74,2015-07-12,Embarcadero at Sansome,60,8136
2015-07-12,San Francisco Caltrain (Townsend at 4th),70,2015-07-12,Embarcadero at Sansome,60,5959
2015-07-12,San Mateo County Center,23,2015-07-12,Mezes Park,83,6951
2015-07-12,San Mateo County Center,23,2015-07-12,Mezes Park,83,6943
2015-07-12,South Van Ness at Market,66,2015-07-12,San Francisco Caltrain 2 (330 Townsend),69,808
2015-07-12,Embarcadero at Vallejo,48,2015-07-12,Embarcadero at Folsom,51,17262
2015-07-12,Paseo de San Antonio,7,2015-07-12,San Jose Diridon Caltrain Station,2,493
2015-07-12,Market at 4th,76,2015-07-12,Market at 4th,76,292
2015-07-12,Yerba Buena Center of the Arts (3rd @ Howard),68,2015-07-12,Powell at Post (Union Square),71,384
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Embarcadero at Bryant,54,614
2015-07-12,Grant Avenue at Columbus Avenue,73,2015-07-12,5th at Howard,57,759
2015-07-12,Market at 10th,67,2015-07-12,Embarcadero at Sansome,60,16639
2015-07-12,Market at Sansome,77,2015-07-12,Market at 10th,67,649
2015-07-12,South Van Ness at Market,66,2015-07-12,Harry Bridges Plaza (Ferry Building),50,841
2015-07-12,Powell Street BART,39,2015-07-12,San Francisco City Hall,58,1181
2015-07-12,Spear at Folsom,49,2015-07-12,2nd at Folsom,62,246
2015-07-12,Powell Street BART,39,2015-07-12,San Francisco City Hall,58,1266
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Spear at Folsom,49,531
2015-07-12,Beale at Market,56,2015-07-12,2nd at Townsend,61,674
2015-07-12,Grant Avenue at Columbus Avenue,73,2015-07-12,Market at 10th,67,760
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Embarcadero at Sansome,60,1866
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Embarcadero at Sansome,60,1935
2015-07-12,Market at 10th,67,2015-07-12,Powell Street BART,39,526
2015-07-12,5th at Howard,57,2015-07-12,Embarcadero at Bryant,54,3053
2015-07-12,St James Park,13,2015-07-12,San Salvador at 1st,8,476
2015-07-12,St James Park,13,2015-07-12,San Salvador at 1st,8,479
2015-07-12,Clay at Battery,41,2015-07-12,Clay at Battery,41,924
2015-07-12,Townsend at 7th,65,2015-07-12,5th at Howard,57,472
2015-07-12,Clay at Battery,41,2015-07-12,Civic Center BART (7th at Market),72,811
2015-07-12,St James Park,13,2015-07-12,Santa Clara at Almaden,4,1691
2015-07-12,Broadway St at Battery St,82,2015-07-12,Post at Kearny,47,732
2015-07-12,South Van Ness at Market,66,2015-07-12,Powell Street BART,39,411
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Powell Street BART,39,1277
2015-07-12,Grant Avenue at Columbus Avenue,73,2015-07-12,Harry Bridges Plaza (Ferry Building),50,365
